feature,importance
Front Camera MP,0.4112524842155705
Battery,0.08391711362068861
Memory,0.057248899938066616
Total Camera MP,0.05555037857544229
Processor__Google Tensor G2,0.04903935449388945
Model_APPLE iPhone 14 Plus,0.04822029283812745
Model_Google Pixel 7,0.039639978055770506
RAM,0.038208949660267166
Mobile Height,0.03420327435779654
Rear_front_ratio,0.020970659608583322
High_Storage,0.015076924886616896
Rear Camera MP,0.012818086190266116
Colour_Purple,0.008957084828932604
High_RAM,0.008099816430646221
Colour_Midnight,0.006323849473156438
Colour_Snow,0.006088766888808603
"Processor__Dimensity 1080, Octa Core ",0.005701151240023663
Model_SAMSUNG Galaxy A34 5G,0.005393095194160269
Processor__IOS,0.0038898971657082464
Processor__Tensor G2,0.0037211430293135435
Model_Google Pixel 7a,0.003646547800633938
Processor__6 Core,0.0034962156281988397
Model_REDMI Note 12 Pro 5G,0.0034029318996020835
Colour_Interstellar Black,0.0031587654347609534
Colour_Lemongrass,0.0025182683168361573
Model_Google Pixel 6a,0.0024546193474098963
Processor__Qualcomm Snapdragon 695 (SM6375),0.0024300411243401146
Processor__Mediatek Dimensity 1080,0.002260541509359312
Model_POCO X5 5G,0.0019780873496894093
Model_SAMSUNG Galaxy A23 5G,0.0019181248717541198
Colour_Obsidian,0.0017640564555391636
Processor__Google Tensor,0.0017549196314225258
"Processor__Exynos 1380, Octa Core ",0.0016267160813050819
Processor__Mediatek G99,0.0015968359725237085
Processor__Qualcomm Snapdragon 695,0.0015193047252558226
Model_SAMSUNG Galaxy A54 5G,0.0014786012493154949
Colour_Awesome Lime,0.0014163905153718745
Processor__Qualcomm Snapdragon 8+ Gen 1,0.0014005747333347357
Model_MOTOROLA Edge 30 Ultra,0.001255686205914166
Model_Infinix Zero 5G 2023 TURBO,0.0011781643612315336
Model_vivo Y16,0.0010577301531834058
Model_Infinix Zero 20,0.0010554308756391244
Processor__Qualcomm Snapdragon 7+ Gen 2 (4nm),0.0010191198633545404
Colour_Phantom Black,0.0009267870277426078
Processor__Qualcomm Snapdragon 888,0.0009194411311298243
Processor__Snapdragon 8 Gen 1,0.0008523387940040417
Processor__ios,0.0007912969929518911
Colour_Frost Blue,0.0007673470911915632
Model_IQOO Neo 7 5G,0.0007365266959083186
Processor__Mediatek Dimensity 810 5G,0.0006857442088427043
Model_realme 10 Pro+ 5G,0.0006692994848448738
Processor__Mediatek Dimensity 1080 5G,0.0006512783568222128
Processor__Qualcomm Snapdragon 888 +,0.0006419591890812178
Colour_Awesome Violet,0.0006417694674090487
Processor__QualcommÂ® Snapdragonâ_x0084_¢ 765G,0.0006375066758471916
Processor__Qualcomm Snapdragon 778G,0.0005989851532483444
Model_POCO F5 5G,0.0005939552528603582
Processor__SEC S5E8535 (Exynos 1330),0.000577492197196881
Model_realme 9i 5G,0.0005662931534380688
Colour_Green Fantasy,0.0005496801017908563
Colour_DEEP GRAY,0.0005358151768515679
Processor__Qualcomm Snapdragon 695 5G,0.0005348089118068706
Model_APPLE iPhone 12,0.0005300176588410171
Model_SAMSUNG Galaxy A14 5G,0.0005160788959261615
Model_POCO X5 Pro 5G,0.0005127743395666302
Colour_Charcoal,0.000505388298213273
Colour_Awesome Graphite,0.0004910235564272927
Model_SAMSUNG Galaxy F23 5G,0.0004382960806292958
Model_SAMSUNG Galaxy S22 Plus 5G,0.00040944101076852596
Processor__Mediatek Helio P35,0.00039290502784778303
Model_MOTOROLA Edge 30 Fusion,0.00039002984015212
Processor__Mediatek Helio G96,0.0003858405531933856
Processor__Qualcomm Snapdragon 778G+,0.00037935922501584776
Processor__Qualcomm Snapdragon 778G Plus,0.00035788884539227317
Colour_Glowing Black,0.0003577364701955886
Model_OnePlus Nord,0.00035144308730197826
Processor__Mediatek Dimensity 900,0.0003495839951702037
Model_MOTOROLA Edge 30,0.00034793833291754965
Colour_Chalk,0.00033263299051207744
Model_realme GT 2,0.000328376738994156
Model_SAMSUNG Galaxy S21 FE 5G,0.0003235074069338127
Model_MOTOROLA g82 5G,0.00031612579188420545
Model_vivo Y75,0.0003081986086416947
Colour_Black,0.00027874079201707554
Processor__snapdragon 888,0.0002765390043730502
Model_MOTOROLA G32,0.00027636486535392255
Colour_Paper White,0.0002705334620727189
Processor__SC6531E,0.00025985200301495616
Colour_Sailing Blue,0.000256990347453555
Model_OPPO A17,0.000254628776362441
Processor__Mediatek Helio G35,0.0002491268930516249
Processor__Dimensity 8100,0.00024883800098831157
Processor__Mediatek Dimensity 1300,0.0002480725100761435
Colour_Olive Green,0.00024260248611975208
Model_vivo V23 5G,0.00024192452344456644
Colour_Stardust Black,0.00023512542033668731
Processor__Android,0.00023128811950377733
Model_Infinix Note 12 Pro 5G,0.00022784922249689186
Colour_Glacial Green,0.00022707637301047816
Model_OnePlus 8,0.0002224104509946965
Model_REDMI K50i 5G,0.0002180190359601206
Processor__Mediatek Dimensity 810,0.00021380863625945074
Model_OPPO A78 5G,0.0002117926959411565
Colour_Steel Black,0.0002114459213345503
Processor__Qualcomm Snapdragon 680,0.00020895539682268277
Model_vivo V25 Pro 5G,0.00020743641133406707
Colour_Quick Silver,0.00019711917494086856
Processor__Qualcomm Snapdragon 750G,0.0001931585444015264
Processor__Qualcomm Snapdragon 4 Gen 1,0.00017756316973665227
Processor__Exynos 850,0.00017506215916130458
Model_MOTOROLA g52,0.00017370173719620725
Model_vivo Y56 5G,0.00017351572872573005
Colour_Stealth Black,0.00017114721875960832
Model_POCO F1,0.00017016400488447045
Colour_Phantom Blue,0.00016957776770386784
Colour_Submariner Black,0.00016855091922440986
Model_REDMI Note 12 5G,0.00016573220086150018
Colour_Satin Silver,0.00016528387881988805
Processor__MediaTek Helio G95,0.0001626340090318657
Processor__Mediatek Dimensity 700,0.00015754956503648298
Processor__Mediatek G96,0.00015654279803965405
Colour_Coral Orange,0.00015613832297656512
Colour_Blue,0.00015484871052640002
Model_realme 9 Pro+ 5G,0.00014892752327245312
Colour_Blue Marble,0.00014869274450522577
Processor__Mediatek Helio G99,0.00014868630039139538
Model_REDMI Note 11T 5G,0.00014612034861625773
Model_OPPO A17k,0.00014605112762764092
Model_REDMI 11 Prime,0.0001449244448113264
Colour_Interstellar Glow,0.0001429470657000313
Model_POCO M4 Pro,0.00013474048974777115
Model_POCO M5,0.00013442122297958233
Processor__Mediatek Dimensity 7200 5G,0.00013397191908558705
Processor__Mediatek Dimensity 920,0.00013141088043714928
Colour_Yellow,0.00012722537290644736
Model_Tecno Spark 9T,0.00012376455773914128
Model_realme Narzo 50,0.00012085537547109015
Colour_Orange Shimmer,0.00011783389276520146
Colour_Soulful Blue,0.00011539478962793702
Model_realme 10 Pro 5G,0.00011453568878112601
Model_MOTOROLA g13,0.00011452684587233654
Colour_Aurora Green,0.00011368761421262412
Processor__MediaTek,0.00011271742346946426
Model_vivo Y100 5G,0.00010934416634038721
Model_SAMSUNG Galaxy A23,0.00010663536205530824
Model_MOTOROLA Edge 40,0.00010346967700601892
Processor__Helio G99,0.0001007842192431305
Colour_Moonlight Shadow,9.753744530205674e-05
Colour_Peach,9.748399474234687e-05
Colour_Black Engine,9.679180837383547e-05
Model_realme Narzo 30,9.585261384606444e-05
Colour_Onyx Black,9.572847339768709e-05
Processor__Oxygen OS,9.564231001064918e-05
Model_vivo V27 5G,9.407980798431691e-05
Processor__Octa-core(EXYNOS),9.301004197440932e-05
Model_Infinix HOT 20 5G,9.15783731446083e-05
Colour_White,9.146922130101282e-05
Colour_Jaguar Black,9.077860020585141e-05
Colour_Stardust Purple,9.042462003408684e-05
Model_POCO M4 Pro 5G,9.003728170948939e-05
Model_Infinix Zero 5G 2023,8.831368150752413e-05
Processor__Snapdragon 695,8.790962258790998e-05
Model_vivo T1 Pro 5G,8.60536201915974e-05
Model_SAMSUNG Galaxy Z Flip3 5G,8.527718413079146e-05
Model_SAMSUNG Galaxy F13,8.355853204361864e-05
Processor__Qualcomm Snapdragon 845,8.340103063744314e-05
Colour_Snowfall,8.320528643311658e-05
Model_OnePlus Nord 2T 5G,8.187324131558045e-05
Model_vivo T1 44W,7.45803765524042e-05
Processor__Unisoc Tiger T616,7.431507485404084e-05
Model_OPPO Reno8T 5G,7.405455283533898e-05
Colour_Cool Blue,7.237125602134571e-05
Processor__Qualcomm Snapdragon 8 Gen 1,7.190745418759946e-05
Processor__MediaTek Helio G35,7.120708368351682e-05
Model_REDMI Note 12 Pro+ 5G,7.090580513525023e-05
Model_APPLE iPhone 11,7.075874909137923e-05
Colour_Glacier Blue,7.05604275074106e-05
Model_vivo V25 5G,7.013674682549766e-05
AI Lens,6.932743879147604e-05
Colour_Power Black,6.884854568695008e-05
Colour_Force Black,6.860667435629728e-05
Processor__Qualcomm Snapdragon 865,6.752203459479233e-05
Processor__Mediatek Helio G37,6.738910300269463e-05
Colour_Nebula Green,6.564584038050558e-05
Colour_Awesome Silver,6.512327146924734e-05
Model_MOTOROLA e32,6.391045114985024e-05
Model_MOTOROLA e13,6.176973890675654e-05
Model_REDMI Note 12,5.967145972951753e-05
Model_Infinix Hot 12 Pro,5.8917187615054655e-05
Processor__Helio G85,5.8103818953781576e-05
Colour_Gray Shadow,5.798383239929928e-05
Colour_Horizon Blue,5.79712307704531e-05
Processor__Qualcomm Snapdragon 778G 5G Mobile Platform,5.793703508735224e-05
Colour_Solar Gold,5.743305537347382e-05
Colour_Light Blue,5.5457075329001596e-05
Model_vivo T2 5G,5.530741045720075e-05
"Processor__Exynos 1330, Octa Core ",5.408962428359501e-05
Processor__Unisoc T612,5.405546806612752e-05
Colour_Pure Black,5.250303261494698e-05
Colour_Carbon Black,5.221093749192593e-05
Processor__Qualcomm SM6225 Snapdragon 680 4G (6 nm),5.146931188360545e-05
Model_POCO C55,5.125793491764452e-05
Processor__Dimensity 810,4.936081063455267e-05
Colour_Meterorite Grey,4.8227500938956864e-05
Processor__Dimensity 8020,4.813442514980381e-05
Colour_Sky Blue,4.771682797952585e-05
Colour_Orange,4.6312054874980475e-05
Colour_Cosmic grey,4.615467930135649e-05
Colour_Midnight Black,4.586191079195056e-05
Model_POCO M4 5G,4.4388864637959614e-05
Model_SAMSUNG Galaxy F14 5G,4.4161402439579165e-05
Colour_Steller Black,4.280745800819612e-05
Processor__Mediatek Helio G85,4.206640544374217e-05
Colour_Pearl White,4.108729475369439e-05
Colour_Deep Ocean Blue,4.099790572960617e-05
Model_Infinix HOT 30i,4.093740925207306e-05
Colour_White Lily,4.083777461940648e-05
Processor__Unisoc T606,3.997190112881984e-05
Model_OPPO F21s Pro,3.966820059458892e-05
Processor__Qualcomm Snapdragon 439,3.9409267716598126e-05
Model_realme C35,3.92272801050105e-05
Processor__MediaTek Helio G85,3.9110140806637546e-05
Colour_Matte Charcoal,3.8677959169589975e-05
Colour_Charcoal Grey,3.864134776838305e-05
Model_vivo Y21T,3.863258282094423e-05
Colour_Steel Blue,3.846915005114933e-05
Model_OPPO A77,3.694087403605741e-05
Model_vivo Y12G,3.6812979839935235e-05
Colour_Speed Blue,3.598602956004367e-05
Model_POCO X4 Pro 5G,3.538572842794928e-05
Model_realme C33 2023,3.371970329390077e-05
Processor__Dimensity 6020,3.3580021923026166e-05
Processor__Snapdragon 685,3.351473567905942e-05
Processor__G37,3.3471568268150525e-05
Model_SAMSUNG M53 5G,3.28696269621273e-05
Colour_Laser Black,3.240056878354117e-05
Colour_Light Green,3.2270849237137665e-05
Colour_Aquamarine Blue,3.096237412943481e-05
Colour_Aurora Gold,3.0753255501454265e-05
Colour_Nitro Blaze,2.9802598901579046e-05
